"","ID","LATITUDE","LONGITUDE","ELEMENT","FIRSTYEAR","LASTYEAR","STATE","STATE_NAME"
"415","CA003050520",51.1833,-115.5667,"TMAX",1887,2025,"AB","ALBERTA"
"403","CA003036360",49.8,-112.1167,"TMAX",1907,2024,"AB","ALBERTA"
"387","CA003033890",49.7,-112.7667,"TMAX",1908,2024,"AB","ALBERTA"
"420","CA003053600",51.0333,-115.0333,"TMAX",1939,2024,"AB","ALBERTA"
"286","CA003011240",53.0333,-112.8167,"TMAX",1946,2024,"AB","ALBERTA"
"376","CA003031640",50,-113.6333,"TMAX",1951,2024,"AB","ALBERTA"
"466","CA003081680",54.4167,-110.2833,"TMAX",1952,2025,"AB","ALBERTA"
"409","CA003044203",49.3667,-110.6833,"TMAX",1957,2024,"AB","ALBERTA"
"297","CA00301222F",53.55,-114.1167,"TMAX",1966,2024,"AB","ALBERTA"
"395","CA003035340",50.6,-112.9833,"TMAX",1966,2024,"AB","ALBERTA"
"290","CA003011953",52.75,-113.95,"TMAX",1974,2024,"AB","ALBERTA"
"453","CA003073140",58.6167,-117.1667,"TMAX",1977,2025,"AB","ALBERTA"
"337","CA003016GF0",53.5,-112.1,"TMAX",1980,2024,"AB","ALBERTA"
"298","CA003012275",53.6833,-112.8667,"TMAX",1981,2024,"AB","ALBERTA"
"299","CA003012515",52.9667,-111,"TMAX",1981,2024,"AB","ALBERTA"
"6923","USW00026616",66.8856,-162.6067,"TMAX",1897,2025,"AK","ALASKA"
"5240","USC00508525",59.4547,-135.3136,"TMAX",1898,2025,"AK","ALASKA"
"6901","USW00026413",66.5706,-145.2342,"TMAX",1899,2025,"AK","ALASKA"
"6915","USW00026523",60.5792,-151.2414,"TMAX",1899,2025,"AK","ALASKA"
"6924","USW00026617",64.5111,-165.44,"TMAX",1900,2025,"AK","ALASKA"
"5185","USC00502607",64.7856,-141.2036,"TMAX",1901,2025,"AK","ALASKA"
"6935","USW00027502",71.2869,-156.7394,"TMAX",1901,2025,"AK","ALASKA"
"6917","USW00026529",65.173,-152.1067,"TMAX",1902,2025,"AK","ALASKA"
"5246","USC00509641",64.8569,-147.8611,"TMAX",1904,2025,"AK","ALASKA"
"6906","USW00026438",60.1292,-149.4186,"TMAX",1908,2025,"AK","ALASKA"
"5224","USC00505884",57.8425,-152.4586,"TMAX",1909,2025,"AK","ALASKA"
"6898","USW00026410",60.4861,-145.4444,"TMAX",1909,2025,"AK","ALASKA"
"6904","USW00026425",62.1592,-145.4589,"TMAX",1909,2025,"AK","ALASKA"
"6870","USW00025325",55.3586,-131.7219,"TMAX",1910,2025,"AK","ALASKA"
"6869","USW00025323",59.2428,-135.5114,"TMAX",1911,2025,"AK","ALASKA"
"1042","USC00013511",32.6922,-87.5761,"TMAX",1890,2025,"AL","ALABAMA                                       "
"1069","USC00017304",34.6736,-86.0536,"TMAX",1891,2025,"AL","ALABAMA                                       "
"1037","USC00012883",33.6794,-87.83,"TMAX",1892,2025,"AL","ALABAMA                                       "
"1030","USC00011694",32.8158,-86.6044,"TMAX",1893,2025,"AL","ALABAMA                                       "
"1072","USC00018024",33.4172,-86.1344,"TMAX",1893,2025,"AL","ALABAMA                                       "
"1076","USC00018469",34.5686,-85.6064,"TMAX",1893,2025,"AL","ALABAMA                                       "
"1062","USC00016121",33.9264,-86.4211,"TMAX",1894,2025,"AL","ALABAMA                                       "
"1070","USC00017366",32.4111,-87.0144,"TMAX",1896,2025,"AL","ALABAMA                                       "
"1046","USC00013620",34.2314,-87.6353,"TMAX",1902,2025,"AL","ALABAMA                                       "
"6480","USW00013871",33.5906,-85.8478,"TMAX",1903,2025,"AL","ALABAMA                                       "
"1067","USC00017157",34.1744,-86.8106,"TMAX",1907,2025,"AL","ALABAMA                                       "
"1074","USC00018323",31.8075,-85.9722,"TMAX",1908,2025,"AL","ALABAMA                                       "
"1044","USC00013573",34.3344,-86.3297,"TMAX",1910,2025,"AL","ALABAMA                                       "
"1024","USC00010583",30.8839,-87.7853,"TMAX",1915,2025,"AL","ALABAMA                                       "
"1036","USC00012813",30.5467,-87.8808,"TMAX",1917,2025,"AL","ALABAMA                                       "
"1244","USC00035820",36.2642,-90.9683,"TMAX",1871,2025,"AR","ARKANSAS"
"7011","USW00053919",33.6361,-91.7556,"TMAX",1876,2025,"AR","ARKANSAS"
"1226","USC00034562",34.3947,-92.8364,"TMAX",1883,2025,"AR","ARKANSAS"
